platform,title,description,category,subcategory,source_url,thumbnail_url,tags,image_urls,price
Printables,Boo Chonkers,"Meet Boo Chonkers - your new favorite chubby ghost! This star-shaped ghost, with its big expressive eyes and welcoming arms, is set to bring joy to your Halloween decorations. This fun and adorable figure is designed for quick and easy printing with simple support removal. Remember not to place it near an open flame. Show off your creation by sharing a photo, sending a note, or even treating the artist to a pizza slice.",Seasonal & Holidays,Halloween,https://www.printables.com/model/1358208-boo-chonkers,https://media.printables.com/media/prints/007d6c37-a7d1-4b81-8317-b801a15bcbca/images/10255445_233ccb70-9e04-44ba-ab1a-e6fbb28813f9_6918b084-1d10-4868-9f42-94a6648d8315/thumbs/inside/320x240/png/close-right.webp,"halloween,decoration,mini,ghost,pumpkin,mario,star,cute,scary,fantasy,fun,easy,cool,witch,easyprint,mariobros,ghosts,monster,3Dprint,joyful","[['https://media.printables.com/media/prints/007d6c37-a7d1-4b81-8317-b801a15bcbca/images/10255445_233ccb70-9e04-44ba-ab1a-e6fbb28813f9_6918b084-1d10-4868-9f42-94a6648d8315/thumbs/inside/1600x1200/png/close-right.webp', 'https://media.printables.com/media/prints/007d6c37-a7d1-4b81-8317-b801a15bcbca/images/10255445_233ccb70-9e04-44ba-ab1a-e6fbb28813f9_6918b084-1d10-4868-9f42-94a6648d8315/thumbs/cover/320x240/png/close-right.webp'], ['https://media.printables.com/media/prints/9a1f228f-347c-42c9-8017-c50c457ec02e/previews/thumbs/inside/1600x1200/png/c9fbee58-423d-4117-86ec-5fdacd463d8b.webp', 'https://media.printables.com/media/prints/9a1f228f-347c-42c9-8017-c50c457ec02e/previews/thumbs/cover/320x240/png/c9fbee58-423d-4117-86ec-5fdacd463d8b.webp'], ['https://media.printables.com/media/prints/518d2bd7-0d57-4dd2-8ea5-3f5837a48150/images/10255443_1d4cd8a2-6fec-4e58-9965-35de62aee86a_26127ad0-e7f3-48b5-ac00-d763501409bf/thumbs/inside/1600x1200/png/zoom-out-perspective.webp', 'https://media.printables.com/media/prints/518d2bd7-0d57-4dd2-8ea5-3f5837a48150/images/10255443_1d4cd8a2-6fec-4e58-9965-35de62aee86a_26127ad0-e7f3-48b5-ac00-d763501409bf/thumbs/cover/320x240/png/zoom-out-perspective.webp'], ['https://media.printables.com/media/prints/3c00a6c7-da4c-403e-b061-3a7a471e4dba/images/10255444_73bf5afa-3084-4242-8b5d-cef7796c2847_f829b6c5-ddf2-448c-982a-ac8c75018bda/thumbs/inside/1600x1200/png/top.webp', 'https://media.printables.com/media/prints/3c00a6c7-da4c-403e-b061-3a7a471e4dba/images/10255444_73bf5afa-3084-4242-8b5d-cef7796c2847_f829b6c5-ddf2-448c-982a-ac8c75018bda/thumbs/cover/320x240/png/top.webp'], ['https://media.printables.com/media/prints/fa39209b-1267-4b0c-99df-52550bc5f588/images/10255472_3531a49b-a29c-48d1-b94f-17d3eefcc552_72e8caf3-ff52-4f66-837e-f81d197ab254/thumbs/inside/1600x1200/jpg/boo-1.webp', 'https://media.printables.com/media/prints/fa39209b-1267-4b0c-99df-52550bc5f588/images/10255472_3531a49b-a29c-48d1-b94f-17d3eefcc552_72e8caf3-ff52-4f66-837e-f81d197ab254/thumbs/cover/320x240/jpg/boo-1.webp'], ['https://media.printables.com/media/prints/b6b62930-a93a-4217-9985-7cddcdff2f84/images/10255474_ceb32dd3-44e5-44df-a846-93a66ce79eb8_75f79347-36ee-4c98-b33b-a42829b4d04f/thumbs/inside/1600x1200/jpg/boo-2.webp', 'https://media.printables.com/media/prints/b6b62930-a93a-4217-9985-7cddcdff2f84/images/10255474_ceb32dd3-44e5-44df-a846-93a66ce79eb8_75f79347-36ee-4c98-b33b-a42829b4d04f/thumbs/cover/320x240/jpg/boo-2.webp'], ['https://media.printables.com/media/prints/df99bcac-c6bd-4575-8c55-e88e5bb69715/images/10255473_1b27766e-e055-45b1-8464-62fa9cf152d4_befda95f-7c51-441a-a214-bd8063315a74/thumbs/inside/1600x1200/jpg/boo-3.webp', 'https://media.printables.com/media/prints/df99bcac-c6bd-4575-8c55-e88e5bb69715/images/10255473_1b27766e-e055-45b1-8464-62fa9cf152d4_befda95f-7c51-441a-a214-bd8063315a74/thumbs/cover/320x240/jpg/boo-3.webp']]",Free
Printables,Pumpkin and Candy Corn Ornaments,"Unleash your creativity with these Pumpkin and Candy Corn Ornaments! The unique design allows you to pause the printing process to add multiple colors, creating a realistic candy corn effect. For an added touch of authenticity, the pumpkin's body and stem are printed separately and then assembled. Perfect for adding a touch of fall warmth to any space!",Seasonal & Holidays,Halloween,https://www.printables.com/model/1362023-pumpkin-and-candy-corn-ornaments,https://media.printables.com/media/prints/35e74332-f035-4da0-af06-99f8e8cd33c9/images/10282827_1e05ea1b-5532-4515-9132-40a9b874b5b6_8de9463c-344a-4034-9203-c63aa36b9ce6/thumbs/inside/320x240/jpg/pumpkin_cany_corn.webp,"candy,decorations,autumn,fall,warm,cosy,candycorn,autumndecoration,pumpkin,3D printing,DIY,ornaments,holiday decor,Prusa Slicer,colour print feature","[['https://media.printables.com/media/prints/35e74332-f035-4da0-af06-99f8e8cd33c9/images/10282827_1e05ea1b-5532-4515-9132-40a9b874b5b6_8de9463c-344a-4034-9203-c63aa36b9ce6/thumbs/inside/1600x1200/jpg/pumpkin_cany_corn.webp', 'https://media.printables.com/media/prints/35e74332-f035-4da0-af06-99f8e8cd33c9/images/10282827_1e05ea1b-5532-4515-9132-40a9b874b5b6_8de9463c-344a-4034-9203-c63aa36b9ce6/thumbs/cover/320x240/jpg/pumpkin_cany_corn.webp'], ['https://media.printables.com/media/prints/7680e66b-e889-4367-a6ec-25453997e32b/previews/thumbs/inside/1600x1200/png/6c73f754-ddee-42bb-9966-038469277ff3.webp', 'https://media.printables.com/media/prints/7680e66b-e889-4367-a6ec-25453997e32b/previews/thumbs/cover/320x240/png/6c73f754-ddee-42bb-9966-038469277ff3.webp'], ['https://media.printables.com/media/prints/ea1eaa93-8e19-47f3-b122-a018b0d25b15/images/10282861_03e8b6c2-bc9b-4433-b5e2-03d8842c14db_9dbbac12-0ed6-4349-b2f7-a4f6a0552175/thumbs/inside/1600x1200/jpg/pxl_20231101_001851927mp.webp', 'https://media.printables.com/media/prints/ea1eaa93-8e19-47f3-b122-a018b0d25b15/images/10282861_03e8b6c2-bc9b-4433-b5e2-03d8842c14db_9dbbac12-0ed6-4349-b2f7-a4f6a0552175/thumbs/cover/320x240/jpg/pxl_20231101_001851927mp.webp']]",Free
Printables,Moving Single Eye,"Introducing the Moving Single Eye - a compact box designed to hold two servos with a single eye. Initially created for a Halloween trunk-or-treat display, this box can be assembled quickly and easily, making it perfect for large-scale displays. The eyes are a breeze to build, making use of dry-brush painting and 12mm cabochons. This model is slightly fragile but boasts a longer life and quicker build time. Please note this model comes with detailed instructions and a supply list. Get ready to create a mesmerizing wall of eyes this Halloween!",Seasonal & Holidays,Halloween,https://www.printables.com/model/1351835-moving-single-eye,https://media.printables.com/media/prints/84406677-ffd8-45b8-ae15-deb40f219270/images/10305316_27157be6-4895-4620-8ab9-6c99ba6d8d8a_92e2e268-9db9-4d71-aaa2-570daaebde38/thumbs/inside/320x240/jpg/eye.webp,"animatronic,eyes,Halloween,display,servos,assembly,cabochons,quick build,easy,large-scale,DIY,painting,electronics,arduino,raspberry pi","[['https://media.printables.com/media/prints/84406677-ffd8-45b8-ae15-deb40f219270/images/10305316_27157be6-4895-4620-8ab9-6c99ba6d8d8a_92e2e268-9db9-4d71-aaa2-570daaebde38/thumbs/inside/1600x1200/jpg/eye.webp', 'https://media.printables.com/media/prints/84406677-ffd8-45b8-ae15-deb40f219270/images/10305316_27157be6-4895-4620-8ab9-6c99ba6d8d8a_92e2e268-9db9-4d71-aaa2-570daaebde38/thumbs/cover/320x240/jpg/eye.webp'], ['https://media.printables.com/media/prints/e647728c-adc3-4d88-b2ac-c4a748fb53d2/previews/thumbs/inside/1600x1200/png/5ba85693-40b6-4768-85cb-51db38498cae.webp', 'https://media.printables.com/media/prints/e647728c-adc3-4d88-b2ac-c4a748fb53d2/previews/thumbs/cover/320x240/png/5ba85693-40b6-4768-85cb-51db38498cae.webp'], ['https://media.printables.com/media/prints/22f26c7c-6e68-44ee-a9fb-f0996740a28a/images/10219349_3168e125-811e-40e5-9c43-05621693a7ba_33e9e15b-9ccc-4dc3-a1d9-bf4413a0928c/out-2025-07-12_11-52-11.gif', 'https://media.printables.com/media/prints/22f26c7c-6e68-44ee-a9fb-f0996740a28a/images/10219349_3168e125-811e-40e5-9c43-05621693a7ba_33e9e15b-9ccc-4dc3-a1d9-bf4413a0928c/out-2025-07-12_11-52-11.gif'], ['https://media.printables.com/media/prints/2fdc9ffd-8c6a-4805-9485-983c87178446/images/10305317_02cc9030-9e01-4291-8d3f-7fcb4b539a15_3c4ff699-aec9-471c-b14e-ac8749ad26c5/thumbs/inside/1600x1200/jpg/eyetop.webp', 'https://media.printables.com/media/prints/2fdc9ffd-8c6a-4805-9485-983c87178446/images/10305317_02cc9030-9e01-4291-8d3f-7fcb4b539a15_3c4ff699-aec9-471c-b14e-ac8749ad26c5/thumbs/cover/320x240/jpg/eyetop.webp']]",Free
Printables,Thanksgiving SVG/STL's,Enhance your 3D projects with these Thanksgiving-themed SVG's and STL's! Perfect for adding a festive touch to your creations. Easy to use and perfect for personal or professional projects.,Art & Decorations,Abstract Objects,https://www.printables.com/model/1349087-thanksgiving-svgstls,https://media.printables.com/media/prints/c08e902c-5000-4a5f-aa76-ed744dbfaaf6/images/10180029_732e547c-2ad4-4a48-8b6a-5145e00a6179_cbeb0a26-2b50-4989-a342-c9aa1fefbba5/thumbs/inside/320x240/png/thankgiving-1.webp,"pumpkin,hat,thanksgiving,turkey,leaf,corn,acorn,thanks,holiday,3D model,SVG,STL,fall,decoration,festive","[['https://media.printables.com/media/prints/c08e902c-5000-4a5f-aa76-ed744dbfaaf6/images/10180029_732e547c-2ad4-4a48-8b6a-5145e00a6179_cbeb0a26-2b50-4989-a342-c9aa1fefbba5/thumbs/inside/1600x1200/png/thankgiving-1.webp', 'https://media.printables.com/media/prints/c08e902c-5000-4a5f-aa76-ed744dbfaaf6/images/10180029_732e547c-2ad4-4a48-8b6a-5145e00a6179_cbeb0a26-2b50-4989-a342-c9aa1fefbba5/thumbs/cover/320x240/png/thankgiving-1.webp'], ['https://media.printables.com/media/prints/0b76f3e2-6a8b-4b5e-90e0-797ad6b1af33/previews/thumbs/inside/1600x1200/png/94f678be-189f-4cbb-96bd-4be06429cc81.webp', 'https://media.printables.com/media/prints/0b76f3e2-6a8b-4b5e-90e0-797ad6b1af33/previews/thumbs/cover/320x240/png/94f678be-189f-4cbb-96bd-4be06429cc81.webp']]",Free
Printables,Ghost badge/fridge magnet.,"This adorable ghost is not only a decorative piece, but it can also be a badge or a fridge magnet. Its charming google eyes are securely fastened with superglue, and a hot glue gun is used to attach a safety pin or a magnet at the back. Perfect to add a touch of cuteness to your outfit or kitchen.",Home & Living,Furniture Accessories,https://www.printables.com/model/1360866-ghost-badgefridge-magnet,https://media.printables.com/media/prints/36053311-5180-4ff4-a55a-956fcdf5d742/images/10273567_21d3b17e-2631-434e-a85c-0d94ddabeeee_c8659e34-7e61-42af-ab4f-c2568d6cf5c3/thumbs/inside/320x240/jpeg/img_4882.webp,"ghost,badge,fridge magnet,decorative,cute,superglue,hot glue gun,safety pin,magnet,outfit,kitchen,3D model,printables","[['https://media.printables.com/media/prints/36053311-5180-4ff4-a55a-956fcdf5d742/images/10273567_21d3b17e-2631-434e-a85c-0d94ddabeeee_c8659e34-7e61-42af-ab4f-c2568d6cf5c3/thumbs/inside/1600x1200/jpeg/img_4882.webp', 'https://media.printables.com/media/prints/36053311-5180-4ff4-a55a-956fcdf5d742/images/10273567_21d3b17e-2631-434e-a85c-0d94ddabeeee_c8659e34-7e61-42af-ab4f-c2568d6cf5c3/thumbs/cover/320x240/jpeg/img_4882.webp'], ['https://media.printables.com/media/prints/bb3ac253-edda-4fd8-a637-0507692450fa/previews/thumbs/inside/1600x1200/png/2d8fb0a8-8401-4b59-8b5c-92d5dc358d66.webp', 'https://media.printables.com/media/prints/bb3ac253-edda-4fd8-a637-0507692450fa/previews/thumbs/cover/320x240/png/2d8fb0a8-8401-4b59-8b5c-92d5dc358d66.webp']]",Free
Printables,Halloween bat badge/fridge magnet,"Introducing our adorable Halloween bat, perfect for a badge or a fridge magnet. This charming little creature will definitely add a touch of cuteness to your Halloween decor. Simply use a bit of superglue to attach googly eyes and a hot glue gun for the safety pin or fridge magnet. It's a fun and easy DIY project!",Seasonal & Holidays,Halloween,https://www.printables.com/model/1360863-halloween-bat-badgefridge-magnet,https://media.printables.com/media/prints/3fa2ad3d-faa8-4c76-b207-ea9552581290/images/10273506_f1188412-759b-422f-907c-c10cd752fde9_a9c0e79f-19d8-4f04-82a7-4e21486038b3/thumbs/inside/320x240/jpg/bat-badge-v2.webp,"Halloween,Bat,Badge,Fridge magnet,DIY,Home decor,Googly eyes,Hot glue gun,Superglue,Safety pin,Cute,3D print,Easy assembly,Halloween decor,Crafts","[['https://media.printables.com/media/prints/3fa2ad3d-faa8-4c76-b207-ea9552581290/images/10273506_f1188412-759b-422f-907c-c10cd752fde9_a9c0e79f-19d8-4f04-82a7-4e21486038b3/thumbs/inside/1600x1200/jpg/bat-badge-v2.webp', 'https://media.printables.com/media/prints/3fa2ad3d-faa8-4c76-b207-ea9552581290/images/10273506_f1188412-759b-422f-907c-c10cd752fde9_a9c0e79f-19d8-4f04-82a7-4e21486038b3/thumbs/cover/320x240/jpg/bat-badge-v2.webp'], ['https://media.printables.com/media/prints/d423cf88-b7bd-4623-901e-ecacf4c13e3c/previews/thumbs/inside/1600x1200/png/f8ac8030-da5a-47e7-bf11-c890b532c1bd.webp', 'https://media.printables.com/media/prints/d423cf88-b7bd-4623-901e-ecacf4c13e3c/previews/thumbs/cover/320x240/png/f8ac8030-da5a-47e7-bf11-c890b532c1bd.webp']]",Free
Printables,Grave Stite,Unearth a sense of the macabre and history with our 3D printed Grave Site model. Perfect for those looking to add a touch of the eerie to their model collection or tabletop game. The level of detail and realism in this model will surely captivate and intrigue anyone who sees it.,Toys & Miniatures,Terrain Scenary,https://www.printables.com/model/1360826-grave-stite,https://media.printables.com/media/prints/59a19f1a-1650-47bb-82a2-11bf13abe757/images/10273211_4bdc6c50-0dac-4332-9728-273f8c6c9694_67853306-d9cf-4e3f-98ff-c58a344b3280/thumbs/inside/320x240/png/screenshot-2025-07-20-at-55452-pm.webp,"Grave Site,3D Model,Printable,Historical,Tabletop Game,Scenery,Detailed,Realistic,Macabre,Eerie,Intriguing,Captivating","[['https://media.printables.com/media/prints/59a19f1a-1650-47bb-82a2-11bf13abe757/images/10273211_4bdc6c50-0dac-4332-9728-273f8c6c9694_67853306-d9cf-4e3f-98ff-c58a344b3280/thumbs/inside/1600x1200/png/screenshot-2025-07-20-at-55452-pm.webp', 'https://media.printables.com/media/prints/59a19f1a-1650-47bb-82a2-11bf13abe757/images/10273211_4bdc6c50-0dac-4332-9728-273f8c6c9694_67853306-d9cf-4e3f-98ff-c58a344b3280/thumbs/cover/320x240/png/screenshot-2025-07-20-at-55452-pm.webp'], ['https://media.printables.com/media/prints/9f5117db-e4e2-4530-9630-bdc0adc70e52/previews/thumbs/inside/1600x1200/png/0cafee18-1d5e-4949-97c0-3687866dbd86.webp', 'https://media.printables.com/media/prints/9f5117db-e4e2-4530-9630-bdc0adc70e52/previews/thumbs/cover/320x240/png/0cafee18-1d5e-4949-97c0-3687866dbd86.webp']]",Free
Printables,Cave Eyes!,"Experience the thrill of being watched in the dark with 'Cave Eyes!' This 3D model provides a casing for a circuit board and LED holders designed by Cowlacious Designs. The circuit board, available at Cowlacious.com, generates an enchanting blinking eye effect for up to 16 pairs of LED eyes, making any space feel alive and eerie. The model includes a front and back piece for the eye holders which can be easily glued together. The set also includes a detailed instruction manual for connecting the LEDs and creating the wiring harness with ethernet cables. Perfect for anyone who enjoys a bit of soldering and DIY fun!",Seasonal & Holidays,Halloween,https://www.printables.com/model/1357653-cave-eyes,https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_b9655148-8228-4783-8f31-d66f9a04164d/thumbs/inside/320x240/jpg/cave_eyes.webp,"halloween,spooky,cowlacious,caveeyes,spookyeyes,LED,DIY,circuit board,soldering,gluing,ethernet cables,blinking eyes,3D model,creepy,thrilling","[['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_b9655148-8228-4783-8f31-d66f9a04164d/thumbs/inside/1600x1200/jpg/cave_eyes.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_b9655148-8228-4783-8f31-d66f9a04164d/thumbs/cover/320x240/jpg/cave_eyes.webp'], ['https://media.printables.com/media/prints/95ac946a-1729-42f1-9b7a-f282254d5f14/previews/thumbs/inside/1600x1200/png/0aee2b62-e2f4-462f-8201-3332e7096962.webp', 'https://media.printables.com/media/prints/95ac946a-1729-42f1-9b7a-f282254d5f14/previews/thumbs/cover/320x240/png/0aee2b62-e2f4-462f-8201-3332e7096962.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_b329b132-bcea-4067-9fea-9e227807c219/thumbs/inside/1600x1200/jpg/empty_box.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_b329b132-bcea-4067-9fea-9e227807c219/thumbs/cover/320x240/jpg/empty_box.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_dacf0133-959c-4369-9441-42c00e083fef/thumbs/inside/1600x1200/jpg/board_front.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_dacf0133-959c-4369-9441-42c00e083fef/thumbs/cover/320x240/jpg/board_front.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_f89e077d-d44f-4c82-934b-7c67131f5a8d/thumbs/inside/1600x1200/jpg/board_back.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_f89e077d-d44f-4c82-934b-7c67131f5a8d/thumbs/cover/320x240/jpg/board_back.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_99b386d8-265b-4889-b683-6f9d35271281/thumbs/inside/1600x1200/jpg/box_front.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_99b386d8-265b-4889-b683-6f9d35271281/thumbs/cover/320x240/jpg/box_front.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_1fcd31be-f682-48f7-a2eb-e4d79b59b087/thumbs/inside/1600x1200/jpg/box_back.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_1fcd31be-f682-48f7-a2eb-e4d79b59b087/thumbs/cover/320x240/jpg/box_back.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_9caa8712-f414-4554-87d7-400c22b0b6fa/thumbs/inside/1600x1200/jpg/eye_holder_parts.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_9caa8712-f414-4554-87d7-400c22b0b6fa/thumbs/cover/320x240/jpg/eye_holder_parts.webp'], ['https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_73de7d2e-dd29-4c27-9696-59fd4d6bd198/thumbs/inside/1600x1200/jpg/eye_holder.webp', 'https://media.printables.com/media/prints/c1606761-8abb-49cd-9a1b-6629c69eb7b4/images/10250498_aa50c5b5-0f52-4988-a28e-d8e23193f87e_73de7d2e-dd29-4c27-9696-59fd4d6bd198/thumbs/cover/320x240/jpg/eye_holder.webp'], ['https://media.printables.com/media/prints/ffcb8bea-12e0-42f2-972f-35b200470e38/images/10251987_04b7b5b2-a2b4-4c5d-bb43-3bee0a53e8d5_3e0f2ec7-fb10-468c-8650-bc77a050cf25/thumbs/inside/1600x1200/jpg/pxl_20250717_120642370.webp', 'https://media.printables.com/media/prints/ffcb8bea-12e0-42f2-972f-35b200470e38/images/10251987_04b7b5b2-a2b4-4c5d-bb43-3bee0a53e8d5_3e0f2ec7-fb10-468c-8650-bc77a050cf25/thumbs/cover/320x240/jpg/pxl_20250717_120642370.webp']]",Free
Printables,Skull Candle Holder,"Illuminate your surroundings with a spooky edge using this Skull Candle Holder. Perfect for creating a chilling ambience, just place a candle in the middle and let it cast an eerie glow.",Seasonal & Holidays,Halloween,https://www.printables.com/model/1347592-skull-candle-holder,https://media.printables.com/media/prints/aa01198b-69fa-4666-9a50-ca66840c1ce8/images/10169264_77962aa4-a51f-45c7-a542-ef02fe7e9b45_8e838d6e-1c0f-41d5-b64f-4d00f26b976d/thumbs/inside/320x240/png/screenshot-2025-07-06-at-84300-am.webp,"halloween,light,candle,skull,scary,lighting,skeleton,lightbox,halloweendecoration,spooky,autumn,candleholder,bone,halloweendecor,gothic,decor,3d print,home decor,ambience,spooky decor","[['https://media.printables.com/media/prints/aa01198b-69fa-4666-9a50-ca66840c1ce8/images/10169264_77962aa4-a51f-45c7-a542-ef02fe7e9b45_8e838d6e-1c0f-41d5-b64f-4d00f26b976d/thumbs/inside/1600x1200/png/screenshot-2025-07-06-at-84300-am.webp', 'https://media.printables.com/media/prints/aa01198b-69fa-4666-9a50-ca66840c1ce8/images/10169264_77962aa4-a51f-45c7-a542-ef02fe7e9b45_8e838d6e-1c0f-41d5-b64f-4d00f26b976d/thumbs/cover/320x240/png/screenshot-2025-07-06-at-84300-am.webp'], ['https://media.printables.com/media/prints/e82223fd-480d-4976-a6f0-7ede32d5b1c9/previews/thumbs/inside/1600x1200/png/4ba1a70a-bc23-4915-9ca1-7a26100d5950.webp', 'https://media.printables.com/media/prints/e82223fd-480d-4976-a6f0-7ede32d5b1c9/previews/thumbs/cover/320x240/png/4ba1a70a-bc23-4915-9ca1-7a26100d5950.webp']]",Free
Printables,Tomb Stones,"Discover the intriguing allure of our Tomb Stones 3D model. This collection's realism and attention to detail make it a captivating addition to any Halloween or horror-inspired setting. Whether you're creating a spooky tabletop game or setting up a haunted house, these tombstones will add the perfect chilling touch.",Seasonal & Holidays,Halloween,https://www.printables.com/model/1360755-tomb-stones,https://media.printables.com/media/prints/081f4391-5b38-450d-8d9f-bf52752f0ab5/images/10272777_c13cb171-7c5e-4572-a617-49bedc8de88d_17612240-e612-4e12-9e37-fc118cf83c67/thumbs/inside/320x240/png/screenshot-2025-07-20-at-44302-pm.webp,"Tomb Stones,3D Model,Printables,Horror,Halloween,Spooky,Graveyard,Tabletop Games,Haunted House,Realistic,Detailed,Scenery,Props,Decor,Themed","[['https://media.printables.com/media/prints/081f4391-5b38-450d-8d9f-bf52752f0ab5/images/10272777_c13cb171-7c5e-4572-a617-49bedc8de88d_17612240-e612-4e12-9e37-fc118cf83c67/thumbs/inside/1600x1200/png/screenshot-2025-07-20-at-44302-pm.webp', 'https://media.printables.com/media/prints/081f4391-5b38-450d-8d9f-bf52752f0ab5/images/10272777_c13cb171-7c5e-4572-a617-49bedc8de88d_17612240-e612-4e12-9e37-fc118cf83c67/thumbs/cover/320x240/png/screenshot-2025-07-20-at-44302-pm.webp'], ['https://media.printables.com/media/prints/c52a296b-37d8-4dc8-83f6-4a4157a5ce0e/previews/thumbs/inside/1600x1200/png/275e88f0-3d6d-489d-822d-bc922b28d65e.webp', 'https://media.printables.com/media/prints/c52a296b-37d8-4dc8-83f6-4a4157a5ce0e/previews/thumbs/cover/320x240/png/275e88f0-3d6d-489d-822d-bc922b28d65e.webp']]",Free
